schedule,n_threads,n_systems,n_steps,time
guided-1,4,128,500,4038126
guided-1,4,256,500,8344169
guided-1,4,512,500,15446836
guided-1,4,1024,500,31111444
guided-1,4,64,1000,5067248
guided-1,4,128,1000,8099299
guided-1,4,256,1000,16571529
guided-1,4,512,1000,31007237
guided-1,4,1024,1000,62252348
guided-1,4,64,100,507039
guided-1,4,128,100,824930
guided-1,4,256,100,1672471
guided-1,4,512,100,3117726
guided-1,4,1024,100,6177951
guided-1,4,64,500,2518498
guided-1,4,128,500,4063480
guided-1,4,256,500,8276134
guided-1,4,512,500,15504608
guided-1,4,1024,500,30997444
guided-1,4,64,1000,5059783
guided-1,4,128,1000,8047443
guided-1,4,256,1000,16584672
guided-1,4,512,1000,31039896
guided-1,4,1024,1000,62019883
guided-1,4,64,100,509884
guided-1,4,128,100,822541
guided-1,4,256,100,1670582
guided-1,4,512,100,3121850
guided-1,4,1024,100,6199281
guided-1,4,64,500,2519976
guided-1,4,128,500,4053744
guided-1,4,256,500,8287255
guided-1,4,512,500,15566440
guided-1,4,1024,500,31038024
guided-1,4,64,1000,5041568
guided-1,4,128,1000,8102952
guided-1,4,256,1000,16522889
guided-1,4,512,1000,31061412
guided-1,4,1024,1000,62168051
guided-1,4,64,100,507069
guided-1,4,128,100,823549
guided-1,4,256,100,1672476
guided-1,4,512,100,3091854
guided-1,4,1024,100,6213683
guided-1,4,64,500,2554343
guided-1,4,128,500,4059444
guided-1,4,256,500,8315290
guided-1,4,512,500,15531863
guided-1,4,1024,500,30936466
guided-1,4,64,1000,5062235
guided-1,4,128,1000,8126065
guided-1,4,256,1000,16633084
guided-1,4,512,1000,31153317
guided-1,4,1024,1000,61612660
guided-1,4,64,100,503852
guided-1,4,128,100,827076
guided-1,4,256,100,1702745
guided-1,4,512,100,3104711
guided-1,4,1024,100,6230298
guided-1,4,64,500,2541895
guided-1,4,128,500,4077802
guided-1,4,256,500,8303634
guided-1,4,512,500,15526506
guided-1,4,1024,500,31034439
guided-1,4,64,1000,5064639
guided-1,4,128,1000,8077979
guided-1,4,256,1000,16590794
guided-1,4,512,1000,31019173
guided-1,4,1024,1000,62097920
guided-1,4,64,100,506819
guided-1,4,128,100,823675
guided-1,4,256,100,1659316
guided-1,4,512,100,3098763
guided-1,4,1024,100,6217492
guided-1,4,64,500,2532330
guided-1,4,128,500,4039051
guided-1,4,256,500,8220781
guided-1,4,512,500,15535692
guided-1,4,1024,500,31047951
guided-1,4,64,1000,5102367
guided-1,4,128,1000,8107371
guided-1,4,256,1000,16531798
guided-1,4,512,1000,31161803
guided-1,4,1024,1000,62003554
guided-1,4,64,100,525194
guided-1,4,128,100,818978
guided-1,4,256,100,1670155
guided-1,4,512,100,3093529
guided-1,4,1024,100,6230528
guided-1,4,64,500,2569948
guided-1,4,128,500,4056682
guided-1,4,256,500,8300396
guided-1,4,512,500,15509863
guided-1,4,1024,500,31134291
guided-1,4,64,1000,5074856
guided-1,4,128,1000,8071863
guided-1,4,256,1000,16440732
guided-1,4,512,1000,31030739
guided-1,4,1024,1000,62122761
guided-1,4,64,100,504275
guided-1,4,128,100,831356
guided-1,4,256,100,1676913
guided-1,4,512,100,3114288
guided-1,4,1024,100,6203053
guided-1,4,64,500,2533446
guided-1,4,128,500,4062123
guided-1,4,256,500,8268157
guided-1,4,512,500,15559366
guided-1,4,1024,500,30773820
guided-1,4,64,1000,5092429
guided-1,4,128,1000,8103031
guided-1,4,256,1000,16447335
guided-1,4,512,1000,30945097
guided-1,4,1024,1000,62029408
guided-1,8,64,100,342761
guided-1,8,128,100,471942
guided-1,8,256,100,1026528
guided-1,8,512,100,1732577
guided-1,8,1024,100,3539544
guided-1,8,64,500,1738428
guided-1,8,128,500,2286197
guided-1,8,256,500,5018960
guided-1,8,512,500,8604528
guided-1,8,1024,500,17600914
guided-1,8,64,1000,3464650
guided-1,8,128,1000,4557691
guided-1,8,256,1000,9987439
guided-1,8,512,1000,17242976
guided-1,8,1024,1000,35064453
guided-1,8,64,100,338995
guided-1,8,128,100,470713
guided-1,8,256,100,1003913
guided-1,8,512,100,1750664
guided-1,8,1024,100,3603264
guided-1,8,64,500,1720459
guided-1,8,128,500,2289851
guided-1,8,256,500,4983951
guided-1,8,512,500,8638296
guided-1,8,1024,500,17636710
guided-1,8,64,1000,3468155
guided-1,8,128,1000,4519901
guided-1,8,256,1000,9965648
guided-1,8,512,1000,17354832
guided-1,8,1024,1000,35214890
guided-1,8,64,100,341292
guided-1,8,128,100,478803
guided-1,8,256,100,1007866
guided-1,8,512,100,1745368
guided-1,8,1024,100,3537689
guided-1,8,64,500,1718718
guided-1,8,128,500,2306073
guided-1,8,256,500,4923678
guided-1,8,512,500,8626041
guided-1,8,1024,500,17568812
guided-1,8,64,1000,3502693
guided-1,8,128,1000,4559222
guided-1,8,256,1000,9936229
guided-1,8,512,1000,17272339
guided-1,8,1024,1000,35229328
guided-1,8,64,100,363424
guided-1,8,128,100,458670
guided-1,8,256,100,996358
guided-1,8,512,100,1740775
guided-1,8,1024,100,3532198
guided-1,8,64,500,1729517
guided-1,8,128,500,2277722
guided-1,8,256,500,4937094
guided-1,8,512,500,8612434
guided-1,8,1024,500,17652021
guided-1,8,64,1000,3453902
guided-1,8,128,1000,4575125
guided-1,8,256,1000,9955921
guided-1,8,512,1000,17321552
guided-1,8,1024,1000,35271013
guided-1,8,64,100,340616
guided-1,8,128,100,484757
guided-1,8,256,100,998191
guided-1,8,512,100,1754455
guided-1,8,1024,100,3547877
guided-1,8,64,500,1716065
guided-1,8,128,500,2291313
guided-1,8,256,500,4989524
guided-1,8,512,500,8737888
guided-1,8,1024,500,17656558
guided-1,8,64,1000,3440059
guided-1,8,128,1000,4548900
guided-1,8,256,1000,9904952
guided-1,8,512,1000,17257998
guided-1,8,1024,1000,35256500
guided-1,8,64,100,363012
guided-1,8,128,100,477960
guided-1,8,256,100,1000623
guided-1,8,512,100,1752247
guided-1,8,1024,100,3539864
guided-1,8,64,500,1734689
guided-1,8,128,500,2274790
guided-1,8,256,500,4944540
guided-1,8,512,500,8602049
guided-1,8,1024,500,17618144
guided-1,8,64,1000,3423468
guided-1,8,128,1000,4610611
guided-1,8,256,1000,9917050
guided-1,8,512,1000,17310286
guided-1,8,1024,1000,35283178
guided-1,8,64,100,363989
guided-1,8,128,100,468803
guided-1,8,256,100,1014459
guided-1,8,512,100,1727666
guided-1,8,1024,100,3578116
guided-1,8,64,500,1754507
guided-1,8,128,500,2264252
guided-1,8,256,500,4974822
guided-1,8,512,500,8643992
guided-1,8,1024,500,17606087
guided-1,8,64,1000,3466438
guided-1,8,128,1000,4563684
guided-1,8,256,1000,9997981
guided-1,8,512,1000,17256317
guided-1,8,1024,1000,35206962
guided-1,8,64,100,360112
guided-1,8,128,100,476048
guided-1,8,256,100,1031651
guided-1,8,512,100,1725907
guided-1,8,1024,100,3539865
guided-1,8,64,500,1742854
guided-1,8,128,500,2287748
guided-1,8,256,500,4968487
guided-1,8,512,500,8613282
guided-1,8,1024,500,17678889
guided-1,8,64,1000,3457980
guided-1,8,128,1000,4569738
guided-1,8,256,1000,9939260
guided-1,8,512,1000,17166308
guided-1,8,1024,1000,35181612
guided-1,8,64,100,365682
guided-1,8,128,100,485951
guided-1,8,256,100,1078181
guided-1,8,512,100,1721842
guided-1,8,1024,100,3534081
guided-1,8,64,500,1736087
guided-1,8,128,500,2336269
guided-1,8,256,500,4960582
guided-1,8,512,500,8597346
guided-1,8,1024,500,17610875
guided-1,8,64,1000,3562785
guided-1,8,128,1000,4551626
guided-1,8,256,1000,9902368
guided-1,8,512,1000,17275085
guided-1,8,1024,1000,35322917
guided-1,8,64,100,339998
guided-1,8,128,100,480180
guided-1,8,256,100,1004747
guided-1,8,512,100,1734301
guided-1,8,1024,100,3537661
guided-1,8,64,500,1730501
guided-1,8,128,500,2281117
guided-1,8,256,500,4962458
guided-1,8,512,500,8618086
guided-1,8,1024,500,17717551
guided-1,8,64,1000,3433939
guided-1,8,128,1000,4548589
guided-1,8,256,1000,9913189
guided-1,8,512,1000,17267840
guided-1,8,1024,1000,35330616
guided-1,16,64,100,450581
guided-1,16,128,100,701390
guided-1,16,256,100,1604400
guided-1,16,512,100,2787093
guided-1,16,1024,100,5798699
guided-1,16,64,500,2211982
guided-1,16,128,500,3449947
guided-1,16,256,500,7927129
guided-1,16,512,500,13800536
guided-1,16,1024,500,29077011
guided-1,16,64,1000,4422186
guided-1,16,128,1000,6866488
guided-1,16,256,1000,15566209
guided-1,16,512,1000,27655127
guided-1,16,1024,1000,57503296
guided-1,16,64,100,458388
guided-1,16,128,100,697320
guided-1,16,256,100,1588650
guided-1,16,512,100,2797435
guided-1,16,1024,100,5820704
guided-1,16,64,500,2259352
guided-1,16,128,500,3447584
guided-1,16,256,500,7896587
guided-1,16,512,500,13761218
guided-1,16,1024,500,28888417
guided-1,16,64,1000,4499868
guided-1,16,128,1000,6817998
guided-1,16,256,1000,15615517
guided-1,16,512,1000,27729778
guided-1,16,1024,1000,57641531
guided-1,16,64,100,448812
guided-1,16,128,100,705201
guided-1,16,256,100,1581870
guided-1,16,512,100,2773197
guided-1,16,1024,100,5838088
guided-1,16,64,500,2200410
guided-1,16,128,500,3390349
guided-1,16,256,500,7932696
guided-1,16,512,500,13709167
guided-1,16,1024,500,28917094
guided-1,16,64,1000,4486883
guided-1,16,128,1000,6837035
guided-1,16,256,1000,15800782
guided-1,16,512,1000,27631961
guided-1,16,1024,1000,57234253
guided-1,16,64,100,460406
guided-1,16,128,100,705503
guided-1,16,256,100,1592950
guided-1,16,512,100,2814122
guided-1,16,1024,100,5806803
guided-1,16,64,500,2237404
guided-1,16,128,500,3425758
guided-1,16,256,500,7977706
guided-1,16,512,500,13839709
guided-1,16,1024,500,29031191
guided-1,16,64,1000,4478835
guided-1,16,128,1000,6907714
guided-1,16,256,1000,15738148
guided-1,16,512,1000,27431035
guided-1,16,1024,1000,57488362
guided-1,16,64,100,447743
guided-1,16,128,100,695880
guided-1,16,256,100,1582815
guided-1,16,512,100,2815885
guided-1,16,1024,100,5799448
guided-1,16,64,500,2235232
guided-1,16,128,500,3491654
guided-1,16,256,500,7853254
guided-1,16,512,500,13757670
guided-1,16,1024,500,28819051
guided-1,16,64,1000,4421254
guided-1,16,128,1000,6866105
guided-1,16,256,1000,15828815
guided-1,16,512,1000,27432998
guided-1,16,1024,1000,58051725
guided-1,16,64,100,449327
guided-1,16,128,100,738988
guided-1,16,256,100,1586003
guided-1,16,512,100,2744050
guided-1,16,1024,100,5786776
guided-1,16,64,500,2237940
guided-1,16,128,500,3462615
guided-1,16,256,500,7840421
guided-1,16,512,500,13743623
guided-1,16,1024,500,29058443
guided-1,16,64,1000,4451037
guided-1,16,128,1000,6791997
guided-1,16,256,1000,15900008
guided-1,16,512,1000,27403450
guided-1,16,1024,1000,57799019
guided-1,16,64,100,457573
guided-1,16,128,100,699941
guided-1,16,256,100,1611505
guided-1,16,512,100,2766214
guided-1,16,1024,100,5779526
guided-1,16,64,500,2275643
guided-1,16,128,500,3463403
guided-1,16,256,500,8001203
guided-1,16,512,500,13782023
guided-1,16,1024,500,28691370
guided-1,16,64,1000,4511080
guided-1,16,128,1000,6894263
guided-1,16,256,1000,15974181
guided-1,16,512,1000,27677231
guided-1,16,1024,1000,57873939
guided-1,16,64,100,450600
guided-1,16,128,100,699019
guided-1,16,256,100,1595409
guided-1,16,512,100,2775914
guided-1,16,1024,100,5770096
guided-1,16,64,500,2263596
guided-1,16,128,500,3459961
guided-1,16,256,500,7842448
guided-1,16,512,500,13749117
guided-1,16,1024,500,28906842
guided-1,16,64,1000,4465949
guided-1,16,128,1000,6846540
guided-1,16,256,1000,15964637
guided-1,16,512,1000,27366195
guided-1,16,1024,1000,57190461
guided-1,16,64,100,449110
guided-1,16,128,100,702000
guided-1,16,256,100,1607529
guided-1,16,512,100,2786615
guided-1,16,1024,100,5776967
guided-1,16,64,500,2259862
guided-1,16,128,500,3412525
guided-1,16,256,500,7866478
guided-1,16,512,500,13795428
guided-1,16,1024,500,28982261
guided-1,16,64,1000,4533315
guided-1,16,128,1000,6910945
guided-1,16,256,1000,15960054
guided-1,16,512,1000,27472628
guided-1,16,1024,1000,57628462
guided-1,16,64,100,450739
guided-1,16,128,100,712480
guided-1,16,256,100,1582884
guided-1,16,512,100,2755609
guided-1,16,1024,100,5810936
guided-1,16,64,500,2194232
guided-1,16,128,500,3509317
guided-1,16,256,500,7953750
guided-1,16,512,500,13880371
guided-1,16,1024,500,28979037
guided-1,16,64,1000,4595493
guided-1,16,128,1000,6810265
guided-1,16,256,1000,15998940
guided-1,16,512,1000,27421643
guided-1,16,1024,1000,57677013
static-0,1,64,100,1758235
static-0,1,128,100,3063204
static-0,1,256,100,6377785
static-0,1,512,100,11978405
static-0,1,1024,100,24146954
static-0,1,64,500,8824298
static-0,1,128,500,15232401
static-0,1,256,500,31907072
static-0,1,512,500,59750967
static-0,1,1024,500,120944884
static-0,1,64,1000,17433886
static-0,1,128,1000,30704777
static-0,1,256,1000,63952008
static-0,1,512,1000,119710259
static-0,1,1024,1000,241696485
