n_threads,matrix_size,n_steps,time
2,2048,10000,14889558
2,4096,10000,60963228
2,8192,10000,245567066
2,128,50000,401886
2,256,50000,1199060
2,512,50000,4556692
2,1024,50000,18267578
2,2048,50000,74250884
2,128,100,1333
2,256,100,4643
2,512,100,16952
2,1024,100,40181
2,2048,100,148679
2,4096,100,613197
2,8192,100,2445208
2,128,500,6566
2,256,500,22219
2,512,500,70884
2,1024,500,184769
2,2048,500,772324
2,4096,500,3023038
2,8192,500,12288000
2,128,1000,13220
2,256,1000,47146
2,512,1000,115036
2,1024,1000,386226
2,2048,1000,1522347
2,4096,1000,6067454
2,8192,1000,24863819
2,128,5000,59243
2,256,5000,142590
2,512,5000,479629
2,1024,5000,1835594
2,2048,5000,7481987
2,4096,5000,30251137
2,8192,5000,122910192
2,128,10000,81941
2,256,10000,250188
2,512,10000,913856
2,1024,10000,3664115
2,2048,10000,15022573
2,4096,10000,60907226
2,8192,10000,245476511
2,128,50000,378694
2,256,50000,1200203
2,512,50000,4600083
2,1024,50000,18131065
2,2048,50000,74461631
2,128,100,1157
2,256,100,4416
2,512,100,17731
2,1024,100,59367
2,2048,100,172525
2,4096,100,626098
2,8192,100,2465307
2,128,500,6512
2,256,500,23530
2,512,500,67267
2,1024,500,204851
2,2048,500,767465
2,4096,500,3069518
2,8192,500,12201431
2,128,1000,12867
2,256,1000,46723
2,512,1000,116359
2,1024,1000,388767
2,2048,1000,1521236
2,4096,1000,6111864
2,8192,1000,24666232
2,128,5000,54096
2,256,5000,132275
2,512,5000,481420
2,1024,5000,1848777
2,2048,5000,7422109
2,4096,5000,30427212
2,8192,5000,122800510
2,128,10000,92024
2,256,10000,259080
2,512,10000,934554
2,1024,10000,3648920
2,2048,10000,14919751
2,4096,10000,60667657
2,8192,10000,245225709
2,128,50000,390117
2,256,50000,1211443
2,512,50000,4571155
2,1024,50000,18071430
2,2048,50000,74946065
2,128,100,1374
2,256,100,4694
2,512,100,15302
2,1024,100,62298
2,2048,100,172724
2,4096,100,604673
2,8192,100,2468523
2,128,500,6414
2,256,500,23222
2,512,500,69732
2,1024,500,205305
2,2048,500,763067
2,4096,500,3047939
2,8192,500,12202584
2,128,1000,13240
2,256,1000,39176
2,512,1000,111771
2,1024,1000,361854
2,2048,1000,1523266
2,4096,1000,6112702
2,8192,1000,24558119
2,128,5000,54814
2,256,5000,150574
2,512,5000,456589
2,1024,5000,1829908
2,2048,5000,7472643
2,4096,5000,30453070
2,8192,5000,122490911
2,128,10000,90601
2,256,10000,239868
2,512,10000,932902
2,1024,10000,3643496
2,2048,10000,15003064
2,4096,10000,60806790
2,8192,10000,245156689
2,128,50000,363215
2,256,50000,1210664
2,512,50000,4603524
2,1024,50000,18115644
2,2048,50000,74900681
2,128,100,1106
2,256,100,4951
2,512,100,10195
2,1024,100,62006
2,2048,100,174985
2,4096,100,633860
2,8192,100,2472179
2,128,500,6795
2,256,500,23186
2,512,500,68988
2,1024,500,205966
2,2048,500,774278
2,4096,500,3030323
2,8192,500,12349676
2,128,1000,12394
2,256,1000,41011
2,512,1000,114219
2,1024,1000,385744
2,2048,1000,1499803
2,4096,1000,6086135
2,8192,1000,24604883
2,128,5000,55484
2,256,5000,148828
2,512,5000,485040
2,1024,5000,1848070
